geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0010948	negative regulation of cell cycle process	http://amigo.geneontology.org/amigo/term/GO:0010948	278	13	0.9674786991479659	13.436988340362193	9.448886117979782e-12	5.958467585998051e-8	324;472;672;1019;1027;2956;4149;4221;5728;5925;7157;11200;79577	APC;ATM;BRCA1;CDC73;CDK4;CDKN1B;MAX;MEN1;MSH6;PTEN;RB1;TP53;CHEK2
GO:1901988	negative regulation of cell cycle phase transition	http://amigo.geneontology.org/amigo/term/GO:1901988	186	11	0.6473058922356895	16.9935113088617	3.588240815588506e-11	8.817399721472441e-8	324;472;672;1027;2956;4221;5728;5925;7157;11200;79577	APC;ATM;BRCA1;CDC73;CDKN1B;MEN1;MSH6;PTEN;RB1;TP53;CHEK2
GO:0044843	cell cycle G1/S phase transition	http://amigo.geneontology.org/amigo/term/GO:0044843	247	12	0.859594383775351	13.960072595281307	4.194766756171475e-11	8.817399721472441e-8	472;1019;1027;1029;4149;4221;5426;5728;5925;7157;11200;79577	ATM;CDC73;CDK4;CDKN1B;CDKN2A;MAX;MEN1;POLE;PTEN;RB1;TP53;CHEK2
GO:0044772	mitotic cell cycle phase transition	http://amigo.geneontology.org/amigo/term/GO:0044772	487	15	1.6948277931117244	8.850456701833888	7.323963657768218e-11	1.1546228706471595e-7	324;472;672;1019;1027;1029;2956;4149;5426;5728;5889;5925;7157;11200;79577	APC;ATM;BRCA1;CDC73;CDK4;CDKN1B;CDKN2A;MAX;MSH6;POLE;PTEN;RAD51C;RB1;TP53;CHEK2
GO:0050680	negative regulation of epithelial cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0050680	119	9	0.4141365654626185	21.731961750217327	2.8198043899863023e-10	3.1720805004908925e-7	675;1027;4221;4763;5727;5728;5925;6794;79577	BRCA2;CDC73;CDKN1B;MEN1;NF1;PTCH1;PTEN;RB1;STK11
GO:1901991	negative regulation of mitotic cell cycle phase transition	http://amigo.geneontology.org/amigo/term/GO:1901991	169	10	0.5881435257410297	17.002652519893896	3.0181546151197836e-10	3.1720805004908925e-7	324;472;672;1027;2956;5728;5925;7157;11200;79577	APC;ATM;BRCA1;CDC73;CDKN1B;MSH6;PTEN;RB1;TP53;CHEK2
GO:0000082	G1/S transition of mitotic cell cycle	http://amigo.geneontology.org/amigo/term/GO:0000082	232	11	0.8073922956918277	13.62410820451843	3.8445646666218636e-10	3.4634035411024963e-07	472;1019;1027;1029;4149;5426;5728;5925;7157;11200;79577	ATM;CDC73;CDK4;CDKN1B;CDKN2A;MAX;POLE;PTEN;RB1;TP53;CHEK2
GO:0007050	cell cycle arrest	http://amigo.geneontology.org/amigo/term/GO:0007050	240	11	0.8352334093363735	13.169971264367815	5.511465728247344e-10	3.885941901593526e-7	324;472;672;1019;1027;1029;4436;5925;6794;7157;11200	APC;ATM;BRCA1;CDK4;CDKN1B;CDKN2A;MSH2;RB1;STK11;TP53;CHEK2
GO:1901987	regulation of cell cycle phase transition	http://amigo.geneontology.org/amigo/term/GO:1901987	386	13	1.343333733349334	9.677416473110595	5.546063608363738e-10	3.885941901593526e-7	324;472;672;1019;1027;2956;4221;5728;5889;5925;7157;11200;79577	APC;ATM;BRCA1;CDC73;CDK4;CDKN1B;MEN1;MSH6;PTEN;RAD51C;RB1;TP53;CHEK2
GO:0001655	urogenital system development	http://amigo.geneontology.org/amigo/term/GO:0001655	326	12	1.1345253810152407	10.577110217897186	1.0216902879278678e-9	6.254493039844792e-7	1027;4072;4089;4763;5156;5727;5728;5979;6794;7248;7490;201163	CDKN1B;EPCAM;FLCN;NF1;PTCH1;PTEN;RET;SMAD4;STK11;TSC1;WT1;PDGFRA
