userId	geneSymbol	geneName	entrezgene	gLink
AIP	AIP	aryl hydrocarbon receptor interacting protein	9049	https://www.ncbi.nlm.nih.gov/gene/?term=9049
APC	APC	APC, WNT signaling pathway regulator	324	https://www.ncbi.nlm.nih.gov/gene/?term=324
ATM	ATM	ATM serine/threonine kinase	472	https://www.ncbi.nlm.nih.gov/gene/?term=472
BAP1	BAP1	BRCA1 associated protein 1	8314	https://www.ncbi.nlm.nih.gov/gene/?term=8314
BMPR1A	BMPR1A	bone morphogenetic protein receptor type 1A	657	https://www.ncbi.nlm.nih.gov/gene/?term=657
BRCA1	BRCA1	BRCA1, DNA repair associated	672	https://www.ncbi.nlm.nih.gov/gene/?term=672
BRCA2	BRCA2	BRCA2, DNA repair associated	675	https://www.ncbi.nlm.nih.gov/gene/?term=675
BRIP1	BRIP1	BRCA1 interacting protein C-terminal helicase 1	83990	https://www.ncbi.nlm.nih.gov/gene/?term=83990
CDC73	CDC73	cell division cycle 73	79577	https://www.ncbi.nlm.nih.gov/gene/?term=79577
CDH1	CDH1	cadherin 1	999	https://www.ncbi.nlm.nih.gov/gene/?term=999
CDK4	CDK4	cyclin dependent kinase 4	1019	https://www.ncbi.nlm.nih.gov/gene/?term=1019
CDKN1B	CDKN1B	cyclin dependent kinase inhibitor 1B	1027	https://www.ncbi.nlm.nih.gov/gene/?term=1027
CDKN2A	CDKN2A	cyclin dependent kinase inhibitor 2A	1029	https://www.ncbi.nlm.nih.gov/gene/?term=1029
DICER1	DICER1	dicer 1, ribonuclease III	23405	https://www.ncbi.nlm.nih.gov/gene/?term=23405
EPCAM	EPCAM	epithelial cell adhesion molecule	4072	https://www.ncbi.nlm.nih.gov/gene/?term=4072
EXT1	EXT1	exostosin glycosyltransferase 1	2131	https://www.ncbi.nlm.nih.gov/gene/?term=2131
EXT2	EXT2	exostosin glycosyltransferase 2	2132	https://www.ncbi.nlm.nih.gov/gene/?term=2132
FH	FH	fumarate hydratase	2271	https://www.ncbi.nlm.nih.gov/gene/?term=2271
FLCN	FLCN	folliculin	201163	https://www.ncbi.nlm.nih.gov/gene/?term=201163
KIT	KIT	KIT proto-oncogene receptor tyrosine kinase	3815	https://www.ncbi.nlm.nih.gov/gene/?term=3815
MAX	MAX	MYC associated factor X	4149	https://www.ncbi.nlm.nih.gov/gene/?term=4149
MEN1	MEN1	menin 1	4221	https://www.ncbi.nlm.nih.gov/gene/?term=4221
MET	MET	MET proto-oncogene, receptor tyrosine kinase	4233	https://www.ncbi.nlm.nih.gov/gene/?term=4233
MLH1	MLH1	mutL homolog 1	4292	https://www.ncbi.nlm.nih.gov/gene/?term=4292
MSH2	MSH2	mutS homolog 2	4436	https://www.ncbi.nlm.nih.gov/gene/?term=4436
MSH6	MSH6	mutS homolog 6	2956	https://www.ncbi.nlm.nih.gov/gene/?term=2956
MUTYH	MUTYH	mutY DNA glycosylase	4595	https://www.ncbi.nlm.nih.gov/gene/?term=4595
NF1	NF1	neurofibromin 1	4763	https://www.ncbi.nlm.nih.gov/gene/?term=4763
NF2	NF2	neurofibromin 2	4771	https://www.ncbi.nlm.nih.gov/gene/?term=4771
NTHL1	NTHL1	nth like DNA glycosylase 1	4913	https://www.ncbi.nlm.nih.gov/gene/?term=4913
PALB2	PALB2	partner and localizer of BRCA2	79728	https://www.ncbi.nlm.nih.gov/gene/?term=79728
PMS2	PMS2	PMS1 homolog 2, mismatch repair system component	5395	https://www.ncbi.nlm.nih.gov/gene/?term=5395
POLD1	POLD1	DNA polymerase delta 1, catalytic subunit	5424	https://www.ncbi.nlm.nih.gov/gene/?term=5424
POLE	POLE	DNA polymerase epsilon, catalytic subunit	5426	https://www.ncbi.nlm.nih.gov/gene/?term=5426
PTCH1	PTCH1	patched 1	5727	https://www.ncbi.nlm.nih.gov/gene/?term=5727
PTEN	PTEN	phosphatase and tensin homolog	5728	https://www.ncbi.nlm.nih.gov/gene/?term=5728
RAD51C	RAD51C	RAD51 paralog C	5889	https://www.ncbi.nlm.nih.gov/gene/?term=5889
RAD51D	RAD51D	RAD51 paralog D	5892	https://www.ncbi.nlm.nih.gov/gene/?term=5892
RB1	RB1	RB transcriptional corepressor 1	5925	https://www.ncbi.nlm.nih.gov/gene/?term=5925
RET	RET	ret proto-oncogene	5979	https://www.ncbi.nlm.nih.gov/gene/?term=5979
SDHA	SDHA	succinate dehydrogenase complex flavoprotein subunit A	6389	https://www.ncbi.nlm.nih.gov/gene/?term=6389
SDHAF2	SDHAF2	succinate dehydrogenase complex assembly factor 2	54949	https://www.ncbi.nlm.nih.gov/gene/?term=54949
SDHB	SDHB	succinate dehydrogenase complex iron sulfur subunit B	6390	https://www.ncbi.nlm.nih.gov/gene/?term=6390
SDHC	SDHC	succinate dehydrogenase complex subunit C	6391	https://www.ncbi.nlm.nih.gov/gene/?term=6391
SDHD	SDHD	succinate dehydrogenase complex subunit D	6392	https://www.ncbi.nlm.nih.gov/gene/?term=6392
SMAD4	SMAD4	SMAD family member 4	4089	https://www.ncbi.nlm.nih.gov/gene/?term=4089
SMARCA4	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	6597	https://www.ncbi.nlm.nih.gov/gene/?term=6597
